Distance_CM
56
16
12
13
16
10
8
16
9
16
10
9
11
9
8
7
4
5
7
6
5
4
5
4
5
6
5
6
8
7
8
7
5
7
8
6
7
9
7
6
7
8
6
9
16
8
6
4
7
6
9
7
11
9
10
6
16
9
7
8
9
10
9
16
10
9
8
6
9
7
9
6
7
6
7
4
10
12
8
6
11
10
8
4
8
7
9
7
10
8
10
9
7
9
7
9
7
9
50
49
56
49
56
49
50
56
49
56
52
56
49
56
50
49
44
45
4
5
4
6
5
49
50
185
43
47
4
16
3
7
5
11
61
4
58
